iter	Logloss
0	0.6797867408
1	0.6651769887
2	0.6529596004
3	0.6403546779
4	0.6299755085
5	0.619332748
6	0.6082643099
7	0.5984239434
8	0.5908308234
9	0.5833197681
10	0.5751683969
11	0.5679068002
12	0.5601808351
13	0.5531471227
14	0.5463751367
15	0.5400942792
16	0.5344492856
17	0.5282765686
18	0.5227370691
19	0.517562868
20	0.5127368266
21	0.5091269362
22	0.5051779423
23	0.5007600667
24	0.4983318416
25	0.4952828197
26	0.4924697627
27	0.4895630849
28	0.4856186181
29	0.4824178824
30	0.4791936804
31	0.4764360847
32	0.4743979065
33	0.4720637624
34	0.4700533191
35	0.4676653605
36	0.4658526511
37	0.4636052421
38	0.4610654192
39	0.4586980067
40	0.4565301118
41	0.4548524043
42	0.4532304885
43	0.4515008418
44	0.4499770151
45	0.4486711242
46	0.4464347913
47	0.4453557997
48	0.4435107572
49	0.4418551757
50	0.4406808598
51	0.4394590413
52	0.4379604565
53	0.4366835876
54	0.4355217031
55	0.4341383158
56	0.432950835
57	0.431890688
58	0.4307199002
59	0.4292147613
60	0.4278175792
61	0.4272386937
62	0.4262945589
63	0.4254662189
64	0.4245399647
65	0.4235674143
66	0.4228800891
67	0.421926409
68	0.420892961
69	0.4200629223
70	0.4194866753
71	0.4188543613
72	0.4180578259
73	0.4172089271
74	0.4163691707
75	0.4153563796
76	0.4144843619
77	0.4139005709
78	0.4132582111
79	0.4125197217
80	0.411872632
81	0.4111417407
82	0.4106448872
83	0.409922026
84	0.4092704385
85	0.4085184616
86	0.4077636042
87	0.4069525818
88	0.4062338157
89	0.4055687317
90	0.4051105997
91	0.4044608162
92	0.4038406963
93	0.403290518
94	0.4027753077
95	0.4023964688
96	0.4018899474
97	0.4012903679
98	0.4006640611
99	0.4001113987
100	0.3995616859
101	0.3992081314
102	0.3985997163
103	0.3980481656
104	0.3973327488
105	0.3968063368
106	0.3963053248
107	0.3956846654
108	0.3954175003
109	0.394908677
110	0.3944774519
111	0.393895368
112	0.3933848586
113	0.3930874307
114	0.3926016923
115	0.3920162932
116	0.391595171
117	0.3910354417
118	0.3905265844
119	0.3901097535
120	0.3895217219
121	0.3892018138
122	0.3886462222
123	0.3879892166
124	0.3876375152
125	0.3871112517
126	0.3867634356
127	0.3863057849
128	0.3858890255
129	0.3854558914
130	0.3850583998
131	0.3848103517
132	0.3845279014
133	0.3841617562
134	0.383553031
135	0.3830777313
136	0.3826019452
137	0.3821872351
138	0.381818394
139	0.3814911555
140	0.3810264376
141	0.3806329192
142	0.3803807616
143	0.3800344036
